PassengerId,Survived,Pclass,SibSp,Parch,HasCabin,CatAge,CatFare,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Unique
1,0.0,3,1,0,False,0,0,True,False,True,False,True,False,False
2,1.0,1,1,0,True,3,3,False,False,False,False,False,True,False
3,1.0,3,0,0,False,1,1,False,False,True,True,False,False,False
4,1.0,1,1,0,True,2,3,False,False,True,False,False,True,False
5,0.0,3,0,0,False,2,1,True,False,True,False,True,False,False
6,0.0,3,0,0,False,1,1,True,True,False,False,True,False,False
7,0.0,1,0,0,True,3,3,True,False,True,False,True,False,False
8,0.0,3,3,1,False,0,2,True,False,True,False,False,False,False
9,1.0,3,0,2,False,1,1,False,False,True,False,False,True,False
10,1.0,2,1,0,False,0,2,False,False,False,False,False,True,False
11,1.0,3,1,1,True,0,2,False,False,True,True,False,False,False
12,1.0,1,0,0,True,3,2,False,False,True,True,False,False,False
13,0.0,3,0,0,False,0,1,True,False,True,False,True,False,False
14,0.0,3,1,5,False,3,2,True,False,True,False,True,False,False
15,0.0,3,0,0,False,0,0,False,False,True,True,False,False,False
16,1.0,2,0,0,False,3,2,False,False,True,False,False,True,False
17,0.0,3,4,1,False,0,2,True,True,False,False,False,False,False
18,1.0,2,0,0,False,1,1,True,False,True,False,True,False,False
19,0.0,3,1,0,False,2,2,False,False,True,False,False,True,False
20,1.0,3,0,0,False,1,0,False,False,False,False,False,True,False
21,0.0,2,0,0,False,2,2,True,False,True,False,True,False,False
22,1.0,2,0,0,True,2,1,True,False,True,False,True,False,False
23,1.0,3,0,0,False,0,1,False,True,False,True,False,False,False
24,1.0,1,0,0,True,1,3,True,False,True,False,True,False,False
25,0.0,3,3,1,False,0,2,False,False,True,True,False,False,False
26,1.0,3,1,5,False,3,3,False,False,True,False,False,True,False
27,0.0,3,0,0,False,1,0,True,False,False,False,True,False,False
28,0.0,1,3,2,True,0,3,True,False,True,False,True,False,False
29,1.0,3,0,0,False,1,0,False,True,False,True,False,False,False
30,0.0,3,0,0,False,1,0,True,False,True,False,True,False,False
31,0.0,1,0,0,False,3,2,True,False,False,False,False,False,True
32,1.0,1,1,0,True,1,3,False,False,False,False,False,True,False
33,1.0,3,0,0,False,1,0,False,True,False,True,False,False,False
34,0.0,2,0,0,False,3,1,True,False,True,False,True,False,False
35,0.0,1,1,0,False,1,3,True,False,False,False,True,False,False
36,0.0,1,1,0,False,3,3,True,False,True,False,True,False,False
37,1.0,3,0,0,False,1,0,True,False,False,False,True,False,False
38,0.0,3,0,0,False,0,1,True,False,True,False,True,False,False
39,0.0,3,2,0,False,0,2,False,False,True,True,False,False,False
40,1.0,3,1,0,False,0,1,False,False,False,True,False,False,False
41,0.0,3,1,0,False,3,1,False,False,True,False,False,True,False
42,0.0,2,1,0,False,1,2,False,False,True,False,False,True,False
43,0.0,3,0,0,False,1,0,True,False,False,False,True,False,False
44,1.0,2,1,2,False,0,3,False,False,False,True,False,False,False
45,1.0,3,0,0,False,0,0,False,True,False,True,False,False,False
46,0.0,3,0,0,False,1,1,True,False,True,False,True,False,False
47,0.0,3,1,0,False,1,2,True,True,False,False,True,False,False
48,1.0,3,0,0,False,1,0,False,True,False,True,False,False,False
49,0.0,3,2,0,False,1,2,True,False,False,False,True,False,False
50,0.0,3,1,0,False,0,2,False,False,True,False,False,True,False
51,0.0,3,4,1,False,0,3,True,False,True,False,False,False,False
52,0.0,3,0,0,False,0,0,True,False,True,False,True,False,False
53,1.0,1,1,0,True,3,3,False,False,False,False,False,True,False
54,1.0,2,1,0,False,2,2,False,False,True,False,False,True,False
55,0.0,1,0,1,True,3,3,True,False,False,False,True,False,False
56,1.0,1,0,0,True,1,3,True,False,True,False,True,False,False
57,1.0,2,0,0,False,0,1,False,False,True,True,False,False,False
58,0.0,3,0,0,False,2,0,True,False,False,False,True,False,False
59,1.0,2,1,2,False,0,2,False,False,True,True,False,False,False
60,0.0,3,5,2,False,0,3,True,False,True,False,False,False,False
61,0.0,3,0,0,False,0,0,True,False,False,False,True,False,False
62,1.0,1,0,0,True,3,3,False,False,True,True,False,False,False
63,0.0,1,1,0,True,3,3,True,False,True,False,True,False,False
64,0.0,3,3,2,False,0,2,True,False,True,False,False,False,False
65,0.0,1,0,0,False,1,2,True,False,False,False,True,False,False
66,1.0,3,1,1,False,1,2,True,False,False,False,False,False,False
67,1.0,2,0,0,True,2,1,False,False,True,False,False,True,False
68,0.0,3,0,0,False,0,1,True,False,True,False,True,False,False
69,1.0,3,4,2,False,0,1,False,False,True,True,False,False,False
70,0.0,3,2,0,False,1,1,True,False,True,False,True,False,False
71,0.0,2,0,0,False,2,1,True,False,True,False,True,False,False
72,0.0,3,5,2,False,0,3,False,False,True,True,False,False,False
73,0.0,2,0,0,False,0,3,True,False,True,False,True,False,False
74,0.0,3,1,0,False,1,1,True,False,False,False,True,False,False
75,1.0,3,0,0,False,2,3,True,False,True,False,True,False,False
76,0.0,3,0,0,True,1,0,True,False,True,False,True,False,False
77,0.0,3,0,0,False,1,0,True,False,True,False,True,False,False
78,0.0,3,0,0,False,1,1,True,False,True,False,True,False,False
79,1.0,2,0,2,False,0,2,True,False,True,False,False,False,False
80,1.0,3,0,0,False,2,1,False,False,True,True,False,False,False
81,0.0,3,0,0,False,0,1,True,False,True,False,True,False,False
82,1.0,3,0,0,False,2,1,True,False,True,False,True,False,False
83,1.0,3,0,0,False,1,0,False,True,False,True,False,False,False
84,0.0,1,0,0,False,1,3,True,False,True,False,True,False,False
85,1.0,2,0,0,False,0,1,False,False,True,True,False,False,False
86,1.0,3,3,0,False,2,2,False,False,True,False,False,True,False
87,0.0,3,1,3,False,0,3,True,False,True,False,True,False,False
88,0.0,3,0,0,False,1,1,True,False,True,False,True,False,False
89,1.0,1,3,2,True,1,3,False,False,True,True,False,False,False
90,0.0,3,0,0,False,1,1,True,False,True,False,True,False,False
91,0.0,3,0,0,False,2,1,True,False,True,False,True,False,False
92,0.0,3,0,0,False,0,0,True,False,True,False,True,False,False
93,0.0,1,1,0,True,3,3,True,False,True,False,True,False,False
94,0.0,3,1,2,False,1,2,True,False,True,False,True,False,False
95,0.0,3,0,0,False,3,0,True,False,True,False,True,False,False
96,0.0,3,0,0,False,1,1,True,False,True,False,True,False,False
97,0.0,1,0,0,True,3,3,True,False,False,False,True,False,False
98,1.0,1,0,1,True,1,3,True,False,False,False,True,False,False
99,1.0,2,0,1,False,2,2,False,False,True,False,False,True,False
100,0.0,2,1,0,False,2,2,True,False,True,False,True,False,False
101,0.0,3,0,0,False,1,0,False,False,True,True,False,False,False
102,0.0,3,0,0,False,1,0,True,False,True,False,True,False,False
103,0.0,1,0,1,True,0,3,True,False,True,False,True,False,False
104,0.0,3,0,0,False,2,1,True,False,True,False,True,False,False
105,0.0,3,2,0,False,3,1,True,False,True,False,True,False,False
106,0.0,3,0,0,False,1,0,True,False,True,False,True,False,False
107,1.0,3,0,0,False,0,0,False,False,True,True,False,False,False
108,1.0,3,0,0,False,1,0,True,False,True,False,True,False,False
109,0.0,3,0,0,False,3,0,True,False,True,False,True,False,False
110,1.0,3,1,0,False,1,2,False,True,False,True,False,False,False
111,0.0,1,0,0,True,3,3,True,False,True,False,True,False,False
112,0.0,3,1,0,False,0,1,False,False,False,True,False,False,False
113,0.0,3,0,0,False,0,1,True,False,True,False,True,False,False
